"filename", "language", "C#", "C++", "comment", "blank", "total"
"e:\GR2_Rework\Source\GR2_Rework.Target.cs", "C#", 12, 0, 1, 3, 16
"e:\GR2_Rework\Source\GR2_ReworkEditor.Target.cs", "C#", 12, 0, 1, 3, 16
"e:\GR2_Rework\Source\GR2_ReworkServer.Target.cs", "C#", 12, 0, 1, 3, 16
"e:\GR2_Rework\Source\GR2_Rework\GR2_Rework.Build.cs", "C#", 9, 0, 1, 3, 13
"e:\GR2_Rework\Source\GR2_Rework\GR2_Rework.cpp", "C++", 0, 4, 2, 3, 9
"e:\GR2_Rework\Source\GR2_Rework\GR2_Rework.h", "C++", 0, 10, 3, 7, 20
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkCharacter.cpp", "C++", 0, 378, 56, 93, 527
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkCharacter.h", "C++", 0, 162, 45, 87, 294
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkGameMode.cpp", "C++", 0, 23, 2, 7, 32
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkGameMode.h", "C++", 0, 20, 1, 16, 37
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkProjectile.cpp", "C++", 0, 26, 6, 7, 39
"e:\GR2_Rework\Source\GR2_Rework\GR2_ReworkProjectile.h", "C++", 0, 21, 6, 11, 38
"e:\GR2_Rework\Source\GR2_Rework\HUD\PopUp\GR2_Rework_Choose_Team_Widget.cpp", "C++", 0, 1, 1, 4, 6
"e:\GR2_Rework\Source\GR2_Rework\HUD\PopUp\GR2_Rework_Choose_Team_Widget.h", "C++", 0, 9, 4, 5, 18
"e:\GR2_Rework\Source\GR2_Rework\Online\GR2_ReworkOnlineSystem.cpp", "C++", 0, 7, 1, 6, 14
"e:\GR2_Rework\Source\GR2_Rework\Online\GR2_ReworkOnlineSystem.h", "C++", 0, 8, 4, 4, 16
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkAmmunitionManager.cpp", "C++", 0, 11, 1, 6, 18
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkBulletImpactEffects.cpp", "C++", 0, 9, 3, 8, 20
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkCharacterData.cpp", "C++", 0, 19, 1, 8, 28
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkGameMode_Map1.cpp", "C++", 0, 96, 2, 25, 123
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkGameMode_Menu.cpp", "C++", 0, 1, 1, 4, 6
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkGameSession.cpp", "C++", 0, 5, 1, 4, 10
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkGameState_Map1.cpp", "C++", 0, 146, 9, 37, 192
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkHUDManager.cpp", "C++", 0, 4, 1, 4, 9
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkMainMenuWidget.cpp", "C++", 0, 1, 1, 4, 6
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkPlayerState.cpp", "C++", 0, 65, 2, 18, 85
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkSetNameWidget.cpp", "C++", 0, 6, 1, 5, 12
"e:\GR2_Rework\Source\GR2_Rework\Private\GR2_ReworkWeapon.cpp", "C++", 0, 87, 8, 27, 122
"e:\GR2_Rework\Source\GR2_Rework\Private\GameState_Map1_Start.cpp", "C++", 0, 1, 1, 4, 6
"e:\GR2_Rework\Source\GR2_Rework\Private\TP_WeaponFXHandler.cpp", "C++", 0, 71, 3, 14, 88
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkAmmunitionManager.h", "C++", 0, 11, 4, 5, 20
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkBulletImpactEffects.h", "C++", 0, 21, 7, 11, 39
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkCharacterData.h", "C++", 0, 13, 5, 6, 24
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkGameMode_Map1.h", "C++", 0, 44, 4, 21, 69
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkGameMode_Menu.h", "C++", 0, 12, 4, 5, 21
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkGameSession.h", "C++", 0, 10, 4, 5, 19
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkGameState_Map1.h", "C++", 0, 50, 5, 25, 80
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkHUDManager.h", "C++", 0, 7, 4, 4, 15
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkMainMenuWidget.h", "C++", 0, 9, 4, 4, 17
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkPlayerState.h", "C++", 0, 30, 6, 16, 52
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkSetNameWidget.h", "C++", 0, 11, 4, 5, 20
"e:\GR2_Rework\Source\GR2_Rework\Public\GR2_ReworkWeapon.h", "C++", 0, 76, 12, 38, 126
"e:\GR2_Rework\Source\GR2_Rework\Public\GameState_Map1_Start.h", "C++", 0, 9, 4, 5, 18
"e:\GR2_Rework\Source\GR2_Rework\Public\TP_WeaponFXHandler.h", "C++", 0, 17, 4, 9, 30
"e:\GR2_Rework\Source\GR2_Rework\TP_PickUpComponent.cpp", "C++", 0, 19, 6, 6, 31
"e:\GR2_Rework\Source\GR2_Rework\TP_PickUpComponent.h", "C++", 0, 19, 6, 9, 34
"e:\GR2_Rework\Source\GR2_Rework\TP_WeaponComponent.cpp", "C++", 0, 139, 16, 42, 197
"e:\GR2_Rework\Source\GR2_Rework\TP_WeaponComponent.h", "C++", 0, 53, 17, 25, 95
"Total", "-", 45, 1741, 286, 671, 2743
